series_id,date,value
LNS11300000,2020-03-01,62.6
LNS11300000,2020-04-01,60.1
LNS11300000,2020-05-01,60.8
LNS11300000,2020-06-01,61.5
LNS11300000,2020-07-01,61.5
LNS11300000,2020-08-01,61.7
LNS11300000,2020-09-01,61.4
LNS11300000,2020-10-01,61.7
LNS11300000,2020-11-01,61.5
LNS11300000,2020-12-01,61.5
LNS11300000,2021-01-01,61.4
LNS11300000,2021-02-01,61.4
LNS11300000,2021-03-01,61.5
LNS11300000,2021-04-01,61.6
LNS11300000,2021-05-01,61.6
LNS11300000,2021-06-01,61.7
LNS11300000,2021-07-01,61.8
LNS11300000,2021-08-01,61.7
LNS11300000,2021-09-01,61.7
LNS11300000,2021-10-01,61.8
LNS11300000,2021-11-01,61.9
LNS11300000,2021-12-01,62.0
LNS11300000,2022-01-01,62.2
LNS11300000,2022-02-01,62.2
LNS11300000,2022-03-01,62.3
LNS11300000,2022-04-01,62.2
LNS11300000,2022-05-01,62.3
LNS11300000,2022-06-01,62.2
LNS11300000,2022-07-01,62.1
LNS11300000,2022-08-01,62.3
LNS11300000,2022-09-01,62.3
LNS11300000,2022-10-01,62.2
LNS11300000,2022-11-01,62.1
LNS11300000,2022-12-01,62.3
LNS11300000,2023-01-01,62.4
LNS11300000,2023-02-01,62.5
LNS11300000,2023-03-01,62.6
LNS11300000,2023-04-01,62.6
LNS11300000,2023-05-01,62.6
LNS11300000,2023-06-01,62.6
LNS11300000,2023-07-01,62.6
LNS11300000,2023-08-01,62.8
LNS11300000,2023-09-01,62.7
LNS11300000,2023-10-01,62.7
LNS11300000,2023-11-01,62.8
LNS11300000,2023-12-01,62.5
LNS11300000,2024-01-01,62.5
LNS11300000,2024-02-01,62.6
LNS11300000,2024-03-01,62.7
LNS11300000,2024-04-01,62.7
LNS11300000,2024-05-01,62.6
LNS11300000,2024-06-01,62.6
LNS11300000,2024-07-01,62.7
LNS11300000,2024-08-01,62.7
LNS11300000,2024-09-01,62.7
LNS11300000,2024-10-01,62.5
